cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,desccription,year,value,mode,chained_value,estimate_actual,deflator
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2011,96000000,General,105264312.1,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2012,97000000,General,102455769.7,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2013,101000000,General,104268827.7,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2014,97000000,General,98847459.01,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2015,99000000,General,101794252.2,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2016,104000000,General,106989280.5,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2017,106000000,General,106000000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2018,103000000,General,98548561.48,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2019,105000000,General,98872849.52,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2020,111000000,General,104049493.8,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2021,111000000,General,95695429.9,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for NTSB outlays,2022,122000000,General,95734329.39,Actual,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2010,97000000,General,111148033.1,Actual,89.756
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2011,129000000,General,141448919.4,Actual,92.191
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2012,101000000,General,106680749.9,Actual,92.944
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2013,104000000,General,107365921.6,Actual,94.354
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2014,71000000,General,72352263.81,Actual,96.197
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2015,118000000,General,121330522.9,Actual,97.039
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2016,107000000,General,110075509.7,Actual,97.996
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2017,118000000,General,118000000,Actual,100
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2018,282000000,General,269812566.4,Actual,102.965
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2019,129000000,General,121472358,Actual,104.87
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2020,140000000,General,131233595.8,Actual,105.425
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2021,190000000,General,163802988.1,Actual,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,General funds used for TSA ground transportation outlays,2022,167000000,General,131046172.2,Actual,114.265
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2010,190000000,General,217712642.2,Actual,89.756
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2011,105000000,General,115132841.4,Actual,92.191
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2012,99000000,General,104568259.8,Actual,92.944
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2013,168000000,General,173437258,Actual,94.354
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2014,158000000,General,161009263.1,Actual,96.197
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2015,141000000,General,144979692.6,Actual,97.039
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2016,148000000,General,152253976.1,Actual,97.996
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2017,122000000,General,122000000,Actual,100
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2018,241000000,General,230584498.2,Actual,102.965
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2019,132000000,General,124297296.5,Actual,104.87
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2020,136000000,General,127484064.5,Actual,105.425
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2021,183000000,General,157768141.2,Actual,108.67
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,OST nonmodal outlays,2022,93000000,General,72977808.47,Actual,114.265
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2010,86000000,General,98543617.01,Actual,89.756
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2011,96000000,General,105264312.1,Actual,92.191
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2012,97000000,General,102455769.7,Actual,92.944
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2013,101000000,General,104268827.7,Actual,94.354
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2014,97000000,General,98847459.01,Actual,96.197
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2015,99000000,General,101794252.2,Actual,97.039
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2016,104000000,General,106989280.5,Actual,97.996
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2017,106000000,General,106000000,Actual,100
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2018,103000000,General,98548561.48,Actual,102.965
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2019,105000000,General,98872849.52,Actual,104.87
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2020,111000000,General,104049493.8,Actual,105.425
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2021,111000000,General,95695429.9,Actual,108.67
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,NTSB outlays,2022,122000000,General,95734329.39,Actual,114.265
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2010,0,General,0,Actual,89.756
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2011,0,General,0,Actual,92.191
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2012,0,General,0,Actual,92.944
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2013,0,General,0,Actual,94.354
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2014,0,General,0,Actual,96.197
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2015,0,General,0,Actual,97.039
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2016,0,General,0,Actual,97.996
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2017,3000000,General,3000000,Actual,100
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2018,131000000,General,125338461.7,Actual,102.965
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2019,0,General,0,Actual,104.87
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2020,0,General,0,Actual,105.425
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2021,0,General,0,Actual,108.67
Expenditure,-,-,Non-Trust Fund,Capital,Federal,TSA ground transportation capital outlays,2022,0,General,0,Actual,114.265
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2010,97000000,General,111148033.1,Actual,89.756
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2011,129000000,General,141448919.4,Actual,92.191
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2012,101000000,General,106680749.9,Actual,92.944
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2013,104000000,General,107365921.6,Actual,94.354
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2014,71000000,General,72352263.81,Actual,96.197
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2015,118000000,General,121330522.9,Actual,97.039
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2016,107000000,General,110075509.7,Actual,97.996
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2017,115000000,General,115000000,Actual,100
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2018,151000000,General,144474104.7,Actual,102.965
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2019,129000000,General,121472358,Actual,104.87
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2020,140000000,General,131233595.8,Actual,105.425
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2021,190000000,General,163802988.1,Actual,108.67
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,TSA ground transportation non-capital outlays,2022,167000000,General,131046172.2,Actual,114.265
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2021,37932763186,Highways,32702631353,Estimate,108.67
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2022,40864539512,Highways,32066715459,Estimate,114.265
Revenue,Own,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2021,5425314904,Highways,4677277856,Estimate,108.67
Revenue,Own,User-Based-Transit,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2022,5748256380,Highways,4510700571,Estimate,114.265
Revenue,Own,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2021,7573050.25,Highways,6528885.579,Estimate,108.67
Revenue,Own,User-Based,Trust Fund,-,Federal,Interest earned on HTF,2022,728214086,Highways,571435140.8,Estimate,114.265
Revenue,Own,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2021,104720510.6,Highways,90281750.25,Estimate,108.67
Revenue,Own,User-Based,Trust Fund,-,Federal,HTF receipts from fines and penalties and other sources,2022,18666039.84,Highways,14647383.66,Estimate,114.265
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State motor fuel taxes used for highways,2021,38481582000,Highways,33175779573,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State motor fuel taxes used for highways,2022,41270640000,Highways,32385385605,Estimate,129.519
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State motor fuel taxes used for transit,2021,6475335000,Highways,5582522221,Estimate,117.108
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State motor fuel taxes used for transit,2022,6183857000,Highways,4852519696,Estimate,129.519
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State motor vehicle taxes used for highways,2021,32948912000,Highways,28405948635,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State motor vehicle taxes used for highways,2022,34980924000,Highways,27449797545,Estimate,129.519
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State motor vehicle taxes used for transit,2021,6466809000,Highways,5575171778,Estimate,117.108
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State motor vehicle taxes used for transit,2022,5278975000,Highways,4142451897,Estimate,129.519
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State toll revenues used for highways,2021,11067125000,Highways,9541200762,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State toll revenues used for highways,2022,14104008000,Highways,11067522521,Estimate,129.519
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State toll revenues used for transit,2021,0,Highways,0,Estimate,117.108
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,State toll revenues used for transit,2022,0,Highways,0,Estimate,129.519
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2021,4845222600,Highways,4177168105,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local motor fuel taxes used for highways,2022,5036774582,Highways,3952395384,Estimate,129.519
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2021,3449947473,Highways,2974272131,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,Local toll revenue used for highways,2022,3129786127,Highways,2455967017,Estimate,129.519
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2021,529434309.1,Highways,456436430.7,Estimate,117.108
Revenue,Own,User-Based-Transit,Non-Trust Fund,-,State and local,Local toll revenue used for transit,2022,615118981.8,Highways,482688551,Estimate,129.519
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2021,3345380473,Highways,2884122725,Estimate,117.108
Revenue,Own,User-Based,Non-Trust Fund,-,State and local,State and local parking revenues,2022,3185349836,Highways,2499568282,Estimate,129.519
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2021,10400000000,Highways,8966058297,Estimate,108.67
Revenue,Supporting,Other,Trust Fund,-,Federal,HTF receipts from federal general and other fund liquidity transfers,2022,90000000000,Highways,70623685615,Estimate,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2021,3987800000,Highways,3437966084,Estimate,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2022,5974000000,Highways,4687843310,Estimate,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2021,6828700000,Highways,5887165605,Estimate,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"General funds used for highways, administered by other agencies",2022,5347800000,Highways,4196459399,Estimate,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2021,88400000,Highways,76211495.52,Estimate,108.67
Revenue,Supporting,Other,Non-Trust Fund,-,Federal,"Other federal receipts used for highways, administered by other agencies",2022,66200000,Highways,51947644.31,Estimate,114.265
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2021,8249462000,Highways,7112034347,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,State general funds,2022,8735886000,Highways,6855116294,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2021,20702327000,Highways,17847910650,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2022,22448163000,Highways,17615244515,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2021,13463774000,Highways,11607402171,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other state funds,2022,16034635000,Highways,12582500235,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2021,24864947000,Highways,21436592725,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local general funds,2022,23432823782,Highways,18387915331,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2021,12450202982,Highways,10733581321,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Local property taxes,2022,12295998582,Highways,9648763757,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2021,10405030636,Highways,8970395314,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2022,10661617618,Highways,8366252565,Estimate,129.519
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2021,9420556255,Highways,8121659285,Estimate,117.108
Revenue,Supporting,Other,Non-Trust Fund,-,State and local,Other local funds,2022,9966284000,Highways,7820618977,Estimate,129.519
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2021,100000,Highways,86212.09901,Estimate,108.67
Expenditure,-,-,Trust Fund,Capital,Federal,HTF direct capital outlays,2022,700000,Highways,549295.3326,Estimate,114.265
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2021,1012700000,Highways,873069926.6,Estimate,108.67
Expenditure,-,-,Trust Fund,Non-Capital,Federal,HTF direct O&M outlays,2022,791300000,Highways,620939138.1,Estimate,114.265
Expenditure,-,-,Trust Fund,Capital,Federal,Other agency capital outlays of HTF funds,2021,344100000,Highways,296655832.7,Estimate,108.67
Expenditure,-,-,Trust Fund,Capital,Federal,Other agency capital outlays of HTF funds,2022,270700000,Highways,212420352.2,Estimate,114.265
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency O&M outlays of HTF funds,2021,1179000000,Highways,1016440647,Estimate,108.67
Expenditure,-,-,Trust Fund,Non-Capital,Federal,Other agency O&M outlays of HTF funds,2022,1241800000,Highways,974449920,Estimate,114.265
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2021,104100000,Highways,89746795.07,Estimate,108.67
Expenditure,-,-,Non-Trust Fund,Capital,Federal,Non-HTF direct capital outlays,2022,107200000,Highways,84120656.64,Estimate,114.265
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,Non-HTF direct O&M outlays,2021,411000000,Highways,354331726.9,Estimate,108.67
Expenditure,-,-,Non-Trust Fund,Non-Capital,Federal,Non-HTF direct O&M outlays,2022,452700000,Highways,355237138.6,Estimate,114.265
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State and local parking expenditures,2021,2351951527,Highways,2027666779,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State and local parking expenditures,2022,2349163982,Highways,1843406872,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Capital,State and local,State capital expenditures,2021,90345304000,Highways,77888582932,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Capital,State and local,State capital expenditures,2022,89530830000,Highways,70255524342,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - maintenance,2021,27053417000,Highways,23323318649,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - maintenance,2022,29093077000,Highways,22829559151,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - research and planning,2021,10409460000,Highways,8974213961,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - research and planning,2022,12413753000,Highways,9741166546,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State capital expenditures - law enforcement,2021,10067245000,Highways,8679183227,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State capital expenditures - law enforcement,2022,10780424000,Highways,8459480837,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - interest,2021,7934659000,Highways,6840636073,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,State O&M expenditures - interest,2022,7757810000,Highways,6087612606,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Capital,State and local,Local capital expenditures,2021,37219182109,Highways,32087438129,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Capital,State and local,Local capital expenditures,2022,39356644418,Highways,30883458692,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - maintenance,2021,28040243673,Highways,24174082637,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - maintenance,2022,28586535564,Highways,22432072227,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - snow removal,2021,2529794964,Highways,2180989339,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - snow removal,2022,2613029509,Highways,2050464162,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - other traffic services,2021,5033527636,Highways,4339509829,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - other traffic services,2022,5247577400,Highways,4117813962,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - admin and misc.,2021,7801715382,Highways,6726022589,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - admin and misc.,2022,8109932818,Highways,6363926063,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - law enforcement,2021,12352460345,Highways,10649315343,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - law enforcement,2022,12623379618,Highways,9905662151,Estimate,129.519
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - interest,2021,3201367927,Highways,2759966487,Estimate,117.108
Expenditure,-,-,Non-Trust Fund,Non-Capital,State and local,Local O&M expenditures - interest,2022,3169106782,Highways,2486822234,Estimate,129.519
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2021,42606054650,Highways,36731574017,Estimate,108.67
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from FHWA (Trust Fund Grants),2022,43338597166,Highways,34008127347,Estimate,114.265
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2021,995900000,Highways,858586294,Estimate,108.67
Transfer,-,-,Trust Fund,-,Federal,HTF transfers to S&L from Other Agencies,2022,1199100000,Highways,940942904.7,Estimate,114.265
Transfer,-,-,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2021,3987800000,Highways,3437966084,Estimate,108.67
Transfer,-,-,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from FHWA (General Fund Grants),2022,5974000000,Highways,4687843310,Estimate,114.265
Transfer,-,-,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from other agencies,2021,6402000000,Highways,5519298578,Estimate,108.67
Transfer,-,-,Non-Trust Fund,-,Federal,Non-HTF transfers to S&L from other agencies,2022,4854100000,Highways,3809049248,Estimate,114.265
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2010,30149877480,Highways,34547418363,Actual,89.756
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2011,31960681799,Highways,35044991501,Actual,92.191
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2012,35142865213,Highways,37119477384,Actual,92.944
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2013,31800259125,Highways,32829462783,Actual,94.354
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2014,34066103936,Highways,34714925901,Actual,96.197
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2015,35740259248,Highways,36749019843,Actual,97.039
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2016,36062387580,Highways,37098931733,Actual,97.996
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2017,35698505423,Highways,35698505423,Actual,100
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2018,37265113252,Highways,35654595187,Actual,102.965
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2019,38266722169,Highways,36033712976,Actual,104.87
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2020,37458457891,Highways,35112915159,Actual,105.425
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2021,37932763186,Highways,32702631353,Actual,108.67
Revenue,Own,User-Based,Trust Fund,-,Federal,"HTF HA excise taxes, excluding transfers which approximate revenues derived from users of other modes (air, boat, etc.)",2022,40864539512,Highways,32066715459,Actual,114.265
